t1_conf_thr	diff_thr	n_takeover	n_inject	n_t1_only	det38_t1_ppv	det38_trackA_ppv	rescue38_ppv	hurt38_ppv	net38_ppv	det38_t1_box	det38_trackA_box	rescue38_box	hurt38_box	net38_box	lr58_t1_ppv	lr58_trackA_ppv	delta_lr58_ppv	p58_t1_ppv	p58_trackA_ppv	lr58_t1_box	lr58_trackA_box	delta_lr58_box	p58_t1_box	p58_trackA_box	score
0.35	0.1	41	14	3	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.4	0.0	41	16	1	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.4	0.05	41	15	2	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.4	0.1	41	14	3	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.45	0.0	41	16	1	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.45	0.05	41	15	2	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.45	0.1	41	14	3	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.5	0.0	41	16	1	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.5	0.05	41	15	2	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.5	0.1	41	14	3	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.55	0.0	43	14	1	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.55	0.05	43	13	2	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.55	0.1	43	12	3	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.6	0.0	43	14	1	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.6	0.05	43	13	2	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.6	0.1	43	12	3	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.05	0.15	24	29	5	20	21	2	1	1	11	22	11	0	11	9.23553909453797	8.610803514578066	-0.6247355799599035	0.002373625087872866	0.003341748447710402	1.304866582497425	8.036809725489213	6.731943142991788	0.2533261961191047	0.004583619274714623	4.308250205788044
0.05	0.2	24	28	6	20	21	2	1	1	11	22	11	0	11	9.23553909453797	8.610803514578066	-0.6247355799599035	0.002373625087872866	0.003341748447710402	1.304866582497425	8.036809725489213	6.731943142991788	0.2533261961191047	0.004583619274714623	4.308250205788044
0.05	0.25	24	26	8	20	21	2	1	1	11	22	11	0	11	9.23553909453797	8.610803514578066	-0.6247355799599035	0.002373625087872866	0.003341748447710402	1.304866582497425	8.036809725489213	6.731943142991788	0.2533261961191047	0.004583619274714623	4.308250205788044
0.05	0.3	24	22	12	20	21	2	1	1	11	22	11	0	11	9.23553909453797	8.610803514578066	-0.6247355799599035	0.002373625087872866	0.003341748447710402	1.304866582497425	8.036809725489213	6.731943142991788	0.2533261961191047	0.004583619274714623	4.308250205788044
